C1/3,a_mm
3.44E-05,54.5258934
3.50E-05,55.22920177
3.55E-05,55.5955082
3.57E-05,55.69807401
3.62E-05,55.69807401
3.64E-05,55.72737852
3.67E-05,56.09368496
3.65E-05,55.91785787
3.69E-05,56.06438045
3.68E-05,56.0790327
3.71E-05,56.15229399
3.75E-05,56.19625076
3.75E-05,56.12298948
3.78E-05,56.06438045
3.76E-05,56.12298948
3.77E-05,56.21090302
3.77E-05,56.19625076
3.81E-05,56.60651398
3.80E-05,56.29881657
3.81E-05,56.65047075
3.81E-05,56.67977526
3.84E-05,57.35377911
3.81E-05,56.75303655
3.87E-05,57.39773588
3.89E-05,57.47099717
3.86E-05,57.60286749
3.86E-05,57.39773588
3.88E-05,57.47099717
3.86E-05,57.22190879
3.88E-05,57.50030169
3.89E-05,57.50030169
3.89E-05,57.79334684
3.88E-05,57.50030169
3.90E-05,57.54425846
3.91E-05,57.69078103
3.92E-05,57.5296062
3.91E-05,57.85195587
3.91E-05,57.632172
3.91E-05,57.73473781
3.94E-05,57.55891072
3.96E-05,57.67612878
3.94E-05,57.86660812
3.95E-05,58.15965328
3.91E-05,58.10104425
3.99E-05,57.77869458
3.96E-05,58.04243522
3.95E-05,58.1156965
3.97E-05,58.0131307
3.95E-05,58.0131307
3.96E-05,58.05708747
4.00E-05,58.3940894
3.97E-05,57.9105649
3.98E-05,58.13034876
3.98E-05,58.13034876
4.03E-05,58.3940894
3.99E-05,58.13034876
3.99E-05,58.26221908
4.00E-05,58.20361005
4.01E-05,58.48200294
4.00E-05,58.18895779
3.99E-05,58.08639199
4.00E-05,58.24756682
4.03E-05,58.48200294
4.00E-05,58.36478488
4.01E-05,58.43804617
4.02E-05,58.13034876
4.01E-05,58.14500102
4.00E-05,58.43804617
4.02E-05,58.51130746
4.01E-05,58.48200294
4.02E-05,58.32082811
4.04E-05,58.45269843
4.05E-05,58.42339391
4.02E-05,58.13034876
4.03E-05,58.56991649
4.07E-05,58.58456875
4.06E-05,58.13034876
4.05E-05,58.1156965
3.99E-05,58.14500102
4.05E-05,58.51130746
4.04E-05,58.43804617
4.04E-05,58.37943714
4.07E-05,58.58456875
4.06E-05,58.35013262
4.08E-05,58.54061197
4.04E-05,58.62852552
4.04E-05,58.35013262
4.07E-05,58.54061197
4.07E-05,58.81900487
4.06E-05,58.86296164
4.01E-05,58.71643906
4.09E-05,58.8776139
4.12E-05,58.80435261
4.05E-05,58.71643906
4.09E-05,58.64317778
4.06E-05,58.64317778
4.07E-05,58.55526423
4.07E-05,59.05344099
4.03E-05,58.70178681
4.03E-05,58.58456875
4.09E-05,58.81900487
4.09E-05,58.81900487
4.10E-05,58.86296164
4.12E-05,59.14135453
4.15E-05,58.78970035
4.13E-05,59.14135453
4.16E-05,59.05344099
4.18E-05,58.83365712
4.15E-05,59.0827455
4.19E-05,59.55161774
4.20E-05,59.30252937
4.21E-05,59.02413647
4.17E-05,59.15600679
4.23E-05,59.15600679
4.24E-05,59.3611384
4.21E-05,59.1853113
4.24E-05,59.31718162
4.20E-05,59.31718162
4.26E-05,59.31718162
4.25E-05,59.31718162
4.26E-05,59.33183388
4.27E-05,59.40509517
4.29E-05,59.4637042
4.25E-05,59.59557452
4.25E-05,59.3611384
4.25E-05,59.52231323
4.28E-05,59.33183388
4.25E-05,59.33183388
4.28E-05,59.74209709
4.31E-05,59.41974743
4.27E-05,59.78605386
4.33E-05,59.34648614
4.30E-05,59.37579065
4.28E-05,59.39044291
4.29E-05,59.71279258
4.27E-05,59.37579065
4.33E-05,59.74209709
4.32E-05,59.49300871
4.35E-05,59.53696549
4.32E-05,59.56627
4.33E-05,59.30252937
4.33E-05,59.09739776
4.35E-05,59.65418355
4.34E-05,59.85931515
4.32E-05,60.00583773
4.35E-05,60.13770805
4.38E-05,59.80070612
4.38E-05,60.0497945
4.36E-05,60.1523603
4.33E-05,60.13770805
4.34E-05,59.90327192
4.35E-05,60.26957836
4.38E-05,60.00583773
4.37E-05,59.9472287
4.38E-05,60.12305579
4.43E-05,60.06444676
4.40E-05,60.19631708
4.42E-05,60.00583773
4.40E-05,60.0497945
4.38E-05,60.1523603
4.37E-05,59.71279258
4.42E-05,60.03514224
4.40E-05,60.34283965
4.39E-05,59.99118547
4.39E-05,60.13770805
4.41E-05,60.1523603
4.38E-05,53.52953989
4.39E-05,53.50023537
4.43E-05,60.19631708
4.41E-05,60.13770805
4.44E-05,59.99118547
4.41E-05,60.21096933
4.39E-05,60.12305579
4.38E-05,60.46005771
4.39E-05,60.48936223
4.41E-05,60.21096933
4.41E-05,60.03514224
4.42E-05,59.9472287
4.42E-05,60.25492611
4.42E-05,60.09375127